point1.x,point1.y,point2.x,point2.y
91.8651,269.154,90.8188,263.288
91.922,217.546,92.4359,189.11
92.4359,189.11,77.9006,145.241
87.8878,228.363,91.922,217.546
93.8006,581.361,116.442,518.673
116.442,518.673,92.2483,501.696
60.787,390.499,96.6177,382.534
60.787,390.499,42.6247,394.537
101.816,387.114,96.6177,382.534
101.45,420.55,102.989,392.922
102.989,392.922,101.816,387.114
70.9308,582.069,93.8006,581.361
70.9308,582.069,48.9875,582.749
85.6632,630.033,91.6753,628.837
91.6753,628.837,105.356,613.592
105.356,613.592,93.8006,581.361
83.7511,501.381,92.2483,501.696
71.0832,425.831,101.45,420.55
71.0832,425.831,53.6516,428.863
110.968,444.709,101.45,420.55
92.2483,501.696,110.968,444.709
7.02091,1080.77,49.6126,933.993
7.02091,1080.77,-582069,2.00696e+06
98.6205,943.023,59.3069,928.267
95.674,748.297,78.9604,743.116
84.4617,808.216,92.9893,787.975
92.9893,787.975,95.674,748.297
54.4126,704.205,74.5873,680.971
54.4126,704.205,48.9795,710.462
84.4196,681.391,74.5873,680.971
84.4196,681.391,105.597,682.296
105.597,682.296,106.549,681.937
107.758,663.823,91.6753,628.837
108.262,671.639,107.758,663.823
106.549,681.937,108.262,671.639
129.349,933.617,96.3327,870.455
129.349,933.617,129.752,934.387
82.8098,723.806,105.597,682.296
82.8098,723.806,73.8675,740.096
116.785,689.802,106.549,681.937
116.178,747.37,120.468,699.943
120.468,699.943,116.785,689.802
80.4752,810.524,84.4617,808.216
80.4752,810.524,78.165,811.861
98.3399,808.64,84.4617,808.216
111.062,826.613,98.3399,808.64
111.062,826.613,124.096,845.026
124.1,858.347,124.096,845.026
106.066,789.081,92.9893,787.975
106.066,789.081,129.501,791.064
130.349,801.611,130.478,801.449
130.478,801.449,129.501,791.064
102.741,747.977,116.178,747.37
102.741,747.977,95.674,748.297
128.799,752.707,116.178,747.37
129.501,791.064,132.235,759.962
132.235,759.962,128.799,752.707
105.327,807.106,130.349,801.611
105.327,807.106,98.3399,808.64
124.096,845.026,130.349,801.611
79.5491,1281.59,98.6205,943.023
79.5491,1281.59,65.6671,1528.03
99.5901,942.754,129.752,934.387
99.5901,942.754,98.6205,943.023
119.282,1233.3,154.042,950.956
154.042,950.956,151.745,938.85
121.419,279.611,91.8651,269.154
121.419,279.611,139.792,286.111
119.412,193.313,92.4359,189.11
119.412,193.313,134.216,195.62
131.722,203.331,134.216,195.62
141.291,53.2017,51.994,-27.4459
141.291,53.2017,144.618,56.2066
119.49,142.212,79.0397,142.175
119.49,142.212,142.992,142.234
134.216,195.62,162.136,169.534
162.136,169.534,142.992,142.234
100.714,79.1308,84.1708,80.1911
129.023,92.0623,100.714,79.1308
129.023,92.0623,160.223,106.314
142.992,142.234,160.223,106.314
109.444,310.18,85.7473,312.678
133.159,324.599,109.444,310.18
133.159,324.599,144.078,331.239
144.696,339.079,144.078,331.239
113.623,212.68,91.922,217.546
123.992,219.751,113.623,212.68
123.992,219.751,129.646,223.608
130.504,243.98,129.646,223.608
129.407,245.326,130.504,243.98
120.849,245.426,129.407,245.326
120.849,245.426,96.6033,245.709
139.792,286.111,142.508,285.311
143.474,267.75,129.407,245.326
142.508,285.311,143.474,267.75
122.732,613.801,105.356,613.592
122.732,613.801,136.964,613.972
137.952,645.287,136.964,613.972
139.12,522.49,116.442,518.673
136.964,613.972,165.427,599.649
173.313,545.652,139.12,522.49
165.427,599.649,173.601,551.91
173.601,551.91,173.313,545.652
119.953,342.665,144.696,339.079
119.953,342.665,89.3599,347.1
145.885,341.145,144.696,339.079
146.609,370.397,145.885,341.145
116.611,211.136,131.722,203.331
116.611,211.136,113.623,212.68
129.646,223.608,133.381,209.934
133.381,209.934,131.722,203.331
116.632,70.8194,144.618,56.2066
116.632,70.8194,100.714,79.1308
162.538,95.0825,149.22,57.3129
163.75,102.371,162.538,95.0825
160.223,106.314,163.75,102.371
104.385,865.079,124.1,858.347
104.385,865.079,98.5439,867.073
129.752,934.387,151.745,938.85
143.794,862.237,124.1,858.347
143.794,862.237,161.626,865.76
157.091,932.346,161.626,865.76
151.745,938.85,157.091,932.346
121.973,655.097,137.952,645.287
121.973,655.097,107.758,663.823
148.204,660.822,137.952,645.287
139.997,408.877,102.989,392.922
139.997,408.877,155.329,415.487
144.047,436.781,152.55,428.868
152.55,428.868,155.329,415.487
115.288,305.545,139.792,286.111
115.288,305.545,109.444,310.18
160.04,300.29,142.508,285.311
144.078,331.239,160.04,300.29
130.738,665.552,148.204,660.822
130.738,665.552,108.262,671.639
153.899,665.151,148.204,660.822
153.899,665.151,154.355,665.498
151.548,679.969,157.465,670.387
157.465,670.387,154.355,665.498
141.238,706.472,120.468,699.943
141.238,706.472,158.035,711.752
166.332,723.559,158.035,711.752
144.7,218.043,133.381,209.934
144.7,218.043,158.192,227.71
123.14,379.156,146.609,370.397
123.14,379.156,101.816,387.114
169.21,384.653,146.609,370.397
169.21,384.653,174.978,388.292
155.329,415.487,175.078,388.483
175.078,388.483,174.978,388.292
133.769,684.997,151.548,679.969
133.769,684.997,116.785,689.802
158.035,711.752,151.548,679.969
144.618,56.2066,149.22,57.3129
144.666,13.5848,42.0088,-47.2982
152.91,30.8304,144.666,13.5848
156.289,49.3835,152.91,30.8304
149.22,57.3129,156.289,49.3835
132.522,439.543,144.047,436.781
132.522,439.543,110.968,444.709
164.013,475.162,144.047,436.781
164.013,475.162,164.33,475.771
144.758,805.443,130.478,801.449
157.228,841.115,144.758,805.443
157.228,841.115,165.122,863.698
161.626,865.76,165.122,863.698
158.192,227.71,166.48,225.449
